"CNT","Mean_MATH_2018","Mean_READ_2018","Mean_SCIE_2018","SD_MATH_2018","SD_READ_2018","SD_SCIE_2018","Mean_MATH_2022","Mean_READ_2022","Mean_SCIE_2022","SD_MATH_2022","SD_READ_2022","SD_SCIE_2022","Country","Region 3","Distance learning modalities (Global)","closure_large_count","closure_restricted_count","income_status","Radio","TV","Online"
"ISL",495.187376173875,473.974316767343,475.024106333756,90.1547996942209,104.717647689671,91.1095443212015,458.912,435.924,446.968,87.813,103.051,94.874,"Iceland","WB: High income","Online",43,0,1,0,0,1
"ISR",463.03454892046,470.41517797925,462.196632753739,108.493267558208,124.460519092114,110.822944988251,457.897,473.834,464.751,107.071,122.116,109.129,"Israel","WB: High income","Online + TV",229,114,1,0,1,1
"ITA",486.58985801291,476.284679692668,468.011727891513,93.7772353273182,96.8675105162629,90.0953313632229,471.262,481.597,477.465,88.903,92.267,92.75,"Italy","WB: High income","Online + TV",263,93,1,0,1,1
"JOR",399.761909259237,419.063660710192,429.252073733675,85.2195192637682,87.3378039823888,88.1529790402388,361.228,342.165,374.528,61.724,76.673,74.176,"Jordan","WB: Upper middle income","Online + TV",380,311,0,0,1,1
"JPN",526.973250496979,503.856041309183,529.135433770819,86.467626248816,97.121065210227,92.0692416097941,535.581,515.857,546.635,92.754,96.262,92.97,"Japan","WB: High income","TV + Online + Radio",80,24,1,1,1,1
"KAZ",423.14613302816,386.909274699561,397.104835281039,86.9597320887009,77.3328507502733,75.71685897725,425.44,386.286,423.167,78.434,81.918,77.804,"Kazakhstan","WB: Upper middle income","Online + TV",363,65,0,0,1,1
"KOR",525.933001858888,514.052287958265,519.0072545812,100.389115746464,102.002539357757,97.8503070967801,527.302,515.415,527.822,105.2,103.28,105.491,"Republic of Korea","WB: High income","Online + TV",553,79,1,0,1,1
"LTU",481.191188294562,475.873479608212,482.067012570461,91.3863659080571,94.3016756217915,90.2796243693234,475.146,471.835,484.463,87.209,94.242,92.384,"Lithuania","WB: High income","TV + Online + Radio",267,70,1,1,1,1
"LVA",496.126330696122,478.698674145044,487.25058835762,80.3499637165251,90.0289842334592,84.2542488806347,483.159,474.568,493.843,80.146,89.651,84.889,"Latvia","WB: High income","Online + TV",341,112,1,0,1,1
"MAR",367.727352665867,359.387886216688,376.596889264977,76.1047579498657,74.6210769519854,66.9484164249008,364.766,339.364,365.397,62.697,75.633,67.071,"Morocco","WB: Lower middle income","Online + TV",262,120,0,0,1,1
